Aqui vai uma alteracao no conteúdo aqui vai outr
"concat('redirect 301')"	"concat('/portal/asn--portugu/',cast(b.id as char),'',b.alias)"	"concat('http://noticias.adventistas.org/pt/?p=',cast(a.id as char))"
"redirect 301"	/portal/asn--portugu/115esportista-famoso-participa-de-festividade-da-educacao-adventista	http://noticias.adventistas.org/pt/?p=9958
"redirect 301"	/portal/asn--portugu/117bom-de-biblia	http://noticias.adventistas.org/pt/?p=9961
"redirect 301"	/portal/asn--portugu/120igreja-tera-cinco-novas-sedes-regionais-em-2009	http://noticias.adventistas.org/pt/?p=9963
"redirect 301"	/portal/asn--portugu/121presidente-da-igreja-conclama-lideres-a-atuarem-com-sentimento-de-pressa	http://noticias.adventistas.org/pt/?p=9964
"redirect 301"	/portal/asn--portugu/122eleitos-os-administradores-da-nova-missao-do-para	http://noticias.adventistas.org/pt/?p=9967
"redirect 301"	/portal/asn--portugu/123itajai-foi-uma-das-cidades-mais-castigadas-pelas-cheias	http://noticias.adventistas.org/pt/?p=9970
"redirect 301"	/portal/asn--portugu/124biblia-ilustrada-da-familia-e-apresentada-a-colportores-goianos	http://noticias.adventistas.org/pt/?p=9972
"redirect 301"	/portal/asn--portugu/125assembleia-decide-lideranca-para-o-proximo-quadrienio-no-mato-grosso	http://noticias.adventistas.org/pt/?p=9973
"redirect 301"	/portal/asn--portugu/126comecam-a-chegar-alimentos-e-roupas-para-ajudar-sc	http://noticias.adventistas.org/pt/?p=9976
"redirect 301"	/portal/asn--portugu/127caminhao-da-adra-leva-mantimentos-a-blumenau	http://noticias.adventistas.org/pt/?p=9978
"redirect 301"	/portal/asn--portugu/138jovens-capixabas-participam-de-acampamento	http://noticias.adventistas.org/pt/?p=9980
"redirect 301"	/portal/asn--portugu/139blumenau-ainda-sofre-risco-de-desabamentos	http://noticias.adventistas.org/pt/?p=9983
"redirect 301"	/portal/asn--portugu/140lideres-eleitos-aceitam-desafios-no-sul-de-minas	http://noticias.adventistas.org/pt/?p=9985
"redirect 301"	/portal/asn--portugu/141escolas-adventistas-gauchas-enviam-10-toneladas-de-alimentos-a-sc	http://noticias.adventistas.org/pt/?p=9986
"redirect 301"	/portal/asn--portugu/142celebracao-dos-pequenos-grupos-mobiliza-igreja	http://noticias.adventistas.org/pt/?p=9987
"redirect 301"	/portal/asn--portugu/143mineira-sul-reelege-presidente	http://noticias.adventistas.org/pt/?p=9989
"redirect 301"	/portal/asn--portugu/144igreja-envia-mais-de-100-mil-itens-para-desabrigados-de-sc	http://noticias.adventistas.org/pt/?p=9990
"redirect 301"	/portal/asn--portugu/145cantatas-de-natal-dos-colegios-adventistas-alegram-shoppings-de-goiania	http://noticias.adventistas.org/pt/?p=9992
"redirect 301"	/portal/asn--portugu/146praca-comemora-100-anos-com-coral-adventista	http://noticias.adventistas.org/pt/?p=9997
"redirect 301"	/portal/asn--portugu/147em-brasilia-sos-santa-catarina-funciona-na-igreja-central	http://noticias.adventistas.org/pt/?p=9999
"redirect 301"	/portal/asn--portugu/150evangelismo-via-satelite-resulta-em-batismos-em-pires-do-rio	http://noticias.adventistas.org/pt/?p=10004
"redirect 301"	/portal/asn--portugu/151lideres-adventistas-planejam-2009-como-o-ano-da-biblia	http://noticias.adventistas.org/pt/?p=10007
"redirect 301"	/portal/asn--portugu/152pastor-adventista-conta-horror-vivido-em-santa-catarina	http://noticias.adventistas.org/pt/?p=10008
"redirect 301"	/portal/asn--portugu/156assista-a-final-do-bom-de-biblia	http://noticias.adventistas.org/pt/?p=10010
"redirect 301"	/portal/asn--portugu/157deputados-federais-e-senadores-recebem-sinais-de-esperanca	http://noticias.adventistas.org/pt/?p=10012
"redirect 301"	/portal/asn--portugu/1321governador-do-estado-apoiara-o-iaesc	http://noticias.adventistas.org/pt/?p=11232
"redirect 301"	/portal/asn--portugu/337colegio-cuiabano-registra-o-maior-crescimento-da-regiao-centro-oeste	http://noticias.adventistas.org/pt/?p=10163
"redirect 301"	/portal/asn--portugu/159igreja-elege-lider-para-a-associacao-mineira-central	http://noticias.adventistas.org/pt/?p=10013
"redirect 301"	/portal/asn--portugu/160igreja-em-minas-gerais-tem-novos-lideres	http://noticias.adventistas.org/pt/?p=10014
"redirect 301"	/portal/asn--portugu/161paulista-oeste-inicia-a-construcao-da-nova-sede-administrativa	http://noticias.adventistas.org/pt/?p=10015
"redirect 301"	/portal/asn--portugu/162espirito-santo-vai-receber-festa-de-mutirao-de-natal	http://noticias.adventistas.org/pt/?p=10016
"redirect 301"	/portal/asn--portugu/163igreja-na-regiao-sul-do-brasil-tem-novo-lider-de-adra	http://noticias.adventistas.org/pt/?p=10017
"redirect 301"	/portal/asn--portugu/164igreja-reelege-lider-dos-adventistas-em-sc	http://noticias.adventistas.org/pt/?p=10018
"redirect 301"	/portal/asn--portugu/165vencedor-biblico-sul-americano-e-da-uniao-este	http://noticias.adventistas.org/pt/?p=10019
"redirect 301"	/portal/asn--portugu/166america-do-sul-ja-sabe-quem-e-o-seu-bom-de-biblia	http://noticias.adventistas.org/pt/?p=10022
"redirect 301"	/portal/asn--portugu/167rio-sul-chama-novo-tesoureiro	http://noticias.adventistas.org/pt/?p=10024
"redirect 301"	/portal/asn--portugu/168escola-realiza-culto-a-cada-50-matriculas	http://noticias.adventistas.org/pt/?p=10026
"redirect 301"	/portal/asn--portugu/169prefeito-de-vitoria-participa-de-culto	http://noticias.adventistas.org/pt/?p=10028
"redirect 301"	/portal/asn--portugu/170associacao-catarinense-encerra-20o-assembleia-quadrienal	http://noticias.adventistas.org/pt/?p=10030
"redirect 301"	/portal/asn--portugu/825luis-goncalves-dirige-evangelismo-via-satelite-a-partir-de-20-de-junho	http://noticias.adventistas.org/pt/?p=10678
"redirect 301"	/portal/asn--portugu/826pequenos-grupos-grandes-bencaos	http://noticias.adventistas.org/pt/?p=10681
"redirect 301"	/portal/asn--portugu/827corumba-100-livre-do-tabaco-ja	http://noticias.adventistas.org/pt/?p=10682
"redirect 301"	/portal/asn--portugu/828vida-por-vidas-chega-aos-estados-unidos-e-impressiona-comunidade-de-newark	http://noticias.adventistas.org/pt/?p=10685
"redirect 301"	/portal/asn--portugu/829pre-requisito-de-campori-ja-resulta-em-batismo	http://noticias.adventistas.org/pt/?p=10686
"redirect 301"	/portal/asn--portugu/830maraba-presidente-da-camara-de-vereadores-conhece-projeto-quebrando-o-silencio	http://noticias.adventistas.org/pt/?p=10687
"redirect 301"	/portal/asn--portugu/832mulheres-celebram-iii-edicao-do-projeto-mel-em-manaus	http://noticias.adventistas.org/pt/?p=10693
"redirect 301"	/portal/asn--portugu/833tv-novo-tempo-estreia-programa-sinais-de-esperanca	http://noticias.adventistas.org/pt/?p=10694
"redirect 301"	/portal/asn--portugu/834espectacular-lanzamiento-del-libro-qsenales-de-esperanzaq	http://noticias.adventistas.org/pt/?p=10763
"redirect 301"	/portal/asn--portugu/839assentamento-do-incra-agora-tem-igreja-adventista	http://noticias.adventistas.org/pt/?p=10699
"redirect 301"	/portal/asn--portugu/840lider-mundial-de-liberdade-religiosa-inaugura-revista-especializada	http://noticias.adventistas.org/pt/?p=10702
"redirect 301"	/portal/asn--portugu/842gincana-de-pequenos-grupos-e-apresentada-para-lideres	http://noticias.adventistas.org/pt/?p=10707
"redirect 301"	/portal/asn--portugu/843grande-treinamento-reaviva-escola-sabatina-no-oeste-paulista	http://noticias.adventistas.org/pt/?p=10710
"redirect 301"	/portal/asn--portugu/844blog-novo-tempo-web-chega-para-discutir-internet-e-religiao	http://noticias.adventistas.org/pt/?p=10711
"redirect 301"	/portal/asn--portugu/845associacao-baixo-amazonas-realiza-concilio-de-anciaos	http://noticias.adventistas.org/pt/?p=10714
"redirect 301"	/portal/asn--portugu/846associacao-baixo-amazonas-registra-mais-de-10-mil-lares-abertos	http://noticias.adventistas.org/pt/?p=10717
"redirect 301"	/portal/asn--portugu/847semana-de-atividades-movimenta-liberdade-religiosa-no-peru	http://noticias.adventistas.org/pt/?p=10718
